Product Name,Link,Price
GeIL PRISTINE 4GB 2400MHz DDR4 RAM,https://www.startech.com.bd/geil-pristine-4gb-ram,"2,700"
Team 4 GB Elite U-DIMM DDR4 Desktop Ram,https://www.startech.com.bd/team-4gb-elite-ddr4-desktop-ram,"3,100"
Corsair Vengeance® LPX 4GB (1x4GB) DDR4 DRAM 2400MHz,https://www.startech.com.bd/Corsair-Vengeance-LPX-4GB,"3,200"
Geil Evo Spear 4GB DDR4- 2400MHz Ram  ,https://www.startech.com.bd/geil-evo-spear-4gb-ram,"3,000"
Patriot 4GB DDR3 1600 Bus Desktop Ram,https://www.startech.com.bd/patriot-4gb-ddr3-1600-bus-ram,"2,650"
Silicon Power 4GB DDR3 1600 Bus Ram ,https://www.startech.com.bd/silicon-power-4gb-ddr3-1600-bus-ram ,"3,400"
Team 4 GB Elite Plus U-DIMM DDR4 Desktop Ram,https://www.startech.com.bd/team-4gb-elite-plus-ram,"3,800"
ADATA 4GB DDR3 1600 BUS,https://www.startech.com.bd/adata-4gb-ddr3-1600-bus,"2,000"
Intel Optane Memory Module 32 GB PCIe M.2 80mm,https://www.startech.com.bd/intel-optane-32gb-ram,"7,000"
PATRIOT DDR-4 4GB-2400MHz Desktop RAM,https://www.startech.com.bd/patriot-ddr-4-4gb,"3,500"
Team Elite 8GB DDR4 2400Mhz Desktop RAM,https://www.startech.com.bd/team-elite-8gb-ddr4,"7,000"
Corsair Vengeance LPX 8GB DDR4 DRAM 2400MHz,https://www.startech.com.bd/Corsair-Vengeance-LPX-8GB,"6,100"
GeIL PRISTINE 8GB 2400MHz DDR4 RAM,https://www.startech.com.bd/geil-pristine-8gb-ram,"4,800"
Patriot 8GB DDR3 1600 Bus Desktop Ram,https://www.startech.com.bd/patriot-8gb-ddr3-1600-bus-ram,"5,800"
Transcend 4GB DDR3 1333 MHz Desktop RAM,https://www.startech.com.bd/transcend-4gb-ddr3,"2,000"
Transcend 4GB DDR4 2400 Mhz Desktop Ram,https://www.startech.com.bd/transcend-4gb-ddr4-2400-mhz-ram,"3,850"
TwinMOS 4GB DDR4 2400MHz Desktop RAM,https://www.startech.com.bd/twinmos-4gb-ddr4-2400mhz,"3,400"
GEIL EVO SPEAR 8GB 2400MHz DDR-4 Single Channel RAM,https://www.startech.com.bd/geil-evo-spear-8gb-2400mhz,"5,200"
GIGABYTE AORUS RGB 8GB DDR4 Single Channel RAM,https://www.startech.com.bd/gigabyte-aorus-rgb-8gb-ddr4-ram,"7,500"
TwinMOS 2GB DDR3 1600 MHz,https://www.startech.com.bd/twinmos-2gb-ddr3-1600-mhz,"1,500"
Adata 4GB DDR4 2400MHz Premier Series Ram,https://www.startech.com.bd/adata-4gb-ddr4-2400mhz-ram,"2,800"
Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM,https://www.startech.com.bd/corsair-vengeance-lpx-8gb-3200mhz,"7,200"
GEIL Evo Spear 8GB 3200 MHz RAM,https://www.startech.com.bd/geil-evo-spear-8gb-ram,"6,200"
Geil Super Luce 16GB DDR4 3200MHz RGB Sync Ram,https://www.startech.com.bd/geil-super-luce-16gb-3200mhz-sync-ram,"12,000"
Geil Super Luce 8GB DDR4 3200MHz RGB Sync Ram,https://www.startech.com.bd/geil-super-luce-8gb-ram,"7,200"
Geil Super Luce 8GB DDR4 3600MHz RGB Sync Ram,https://www.startech.com.bd/geil-super-luce-8gb-3600mhz-ram,"9,800"
Corsair 8 GB DDR4 3200MHZ RGB Ram,https://www.startech.com.bd/corsair-8gb-ddr4-3200mhz-rgb-ram,"7,800"
GeIL EVO POTENZA 8GB DDR4 3200MHz Single Channel Ram,https://www.startech.com.bd/geil-evo-potenza-ddr4-3200mhz,"7,400"
GeIL EVO X DDR4-2400MHz 8GB RGB Desktop RAM (Black HS),https://www.startech.com.bd/geil-evo-x-ddr4-8gb-rgb,"8,500"
Corsair Vengeance® LPX 16GB DDR4 DRAM 3200MHz Ram,https://www.startech.com.bd/corsair-16gb-3200mhz-ram,"13,800"
Corsair 16GB DDR4 3200 MHZ Dominator Platinum Ram,https://www.startech.com.bd/corsair-16gb-ddr4-dominator-platinum-ram,"16,200"
GEIL Evo Spear 16gb 2400 MHz Ram,https://www.startech.com.bd/geil-evo-spear-16gb-2400mhz-ram,"10,300"
TwinMOS 2GB DDR3 1333 MHz,https://www.startech.com.bd/twinmos-2gb-ddr3-1333mhz,"1,400"
TwinMOS 4GB DDR3 1333MHz Ram,https://www.startech.com.bd/twinmos-4gb-ddr3-1333mhz-ram,"2,300"
Adata 8GB DDR3 1600 Mhz Ram,https://www.startech.com.bd/adata-8gb-ddr3-1600-bus,"3,800"
TwinMOS 4GB DDR3 1600MHz,https://www.startech.com.bd/twinmos-4gb-ddr3-1600mhz,"2,300"
Kingston HyperX FURY DDR4 2400MHz 4GB Ram,https://www.startech.com.bd/kingston-hyperx-fury-4gb-ram,"3,650"
Adata 8 GB DDR4 2400 BUS Desktop Ram,https://www.startech.com.bd/adata-8gb-ddr4-2400-bus-ram,"5,400"
Adata Spectrix D40 RGB 8GB DDR4 Desktop Ram,https://www.startech.com.bd/adata-spectrix-d40-ram,"8,600"
Adata Gammix D10 8GB DDR4 2400 BUS Desktop RAM,https://www.startech.com.bd/adata-gammix-d10-8gb-ddr4-desktop-ram,"6,500"
